"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Date published","ISSN","URLs","DOI","Abstract","Keywords","Affiliation","Language"
"Journal Article","Hofeditz L,Mirbabaie M,Ortmann M","Ethical Challenges for Human-Agent Interaction in Virtual Collaboration at Work","INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION","2023","","","","TAYLOR & FRANCIS INC","530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA","2023","1044-7318","http://dx.doi.org/10.1080/10447318.2023.2279400","10.1080/10447318.2023.2279400","In virtual collaboration at the workplace, a growing number of teams apply supportive conversational agents (CAs). They take on different work-related tasks for teams and single users such as scheduling meetings or stimulating creativity. Previous research merely focused on these positive aspects of introducing CAs at the workplace, omitting ethical challenges faced by teams using these often artificial intelligence (AI)-enabled technologies. Thus, on the one hand, CAs can present themselves as benevolent teammates, but on the other hand, they can collect user data, reduce worker autonomy, or foster social isolation by their service. In this work, we conducted 15 expert interviews with senior researchers from the fields of ethics, collaboration, and computer science in order to derive ethical guidelines for introducing CAs in virtual team collaboration. We derived 14 guidelines and seven research questions to pave the way for future research on the dark sides of human-agent interaction in organizations.","Conversational agents; human-computer interaction; virtual collaboration; ethics; virtual teams; trust","Hofeditz, L (Corresponding Author), Univ Potsdam, Fac Econ & Social Sci, August Bebel Str 89, D-14482 Potsdam, Germany. Hofeditz, Lennart, Univ Potsdam, Fac Econ & Social Sci, Potsdam, Germany. Mirbabaie, Milad, Paderborn Univ, Fac Business Adm & Econ, Business Informat Syst, Paderborn, Germany. Ortmann, Mara, Univ Duisburg Essen, Dept Comp Sci & Appl Cognit Sci, Duisburg, Germany. Hofeditz, Lennart, Univ Potsdam, Fac Econ & Social Sci, August Bebel Str 89, D-14482 Potsdam, Germany. Mirbabaie, Milad, Univ Bamberg, Fac Informat Syst & Appl Comp Sci, Bamberg, Germany.","English"
"Journal Article","Tomic BB,Kijevcanin AD,Sevarac V Z,Jovanovic JM","An AI-based Approach for Grading Students' Collaboration","IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES","2023","16","3","292-305","IEEE COMPUTER SOC","10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1314 USA","2023-06-01","1939-1382","http://dx.doi.org/10.1109/TLT.2022.3225432","10.1109/TLT.2022.3225432","Soft skills (such as communication and collaboration) are rarely addressed in programming courses, mostly because they are difficult to teach, assess, and grade. A quantitative, modular, AI-based approach for assessing and grading students' collaboration has been examined in this article. The pedagogical underpinning of the approach includes a pedagogical framework and a quantitative soft skill assessment rubric, which have been adapted and used in an extracurricular Java programming course. The objective was to identify pros and cons of using different AI methods within this approach when it comes to assessing and grading collaboration in group programming projects. More specifically, fuzzy rules and several machine learning methods (ML onward) have been examined to see which one would yield the best results regarding performance, interpretability/explainability of recommendations, and feasibility/practicality. The data used for training and testing span four academic years, and the results suggest that almost all of the examined AI methods, when used within the proposed AI-based approach, can provide adequate grading recommendations as long as teachers cover other aspects of the assessment not covered by the rubrics: code quality, plagiarism, and project completion. The fuzzy-rule-based method requires time and effort to be spent on (manual) creation and tuning of fuzzy rules and sets, whereas the examined ML methods require lesser initial investments but do need historical data for training. On the other hand, the fuzzy-rule-based method can provide the best explanations on how the assessment/grading was made-something that proved to be very important to teachers.","Collaboration; Codes; Software engineering; Measurement; Teamwork; Market research; Electronic mail; Automatic assessment tools; collaboration; computer science education; fuzzy systems; machine learning (ML); soft skills","Tomic, BB (Corresponding Author), Univ Belgrade, Fac Org Sci, Dept Software Engn, Belgrade 11000, Serbia. Tomic, Bojan B.; Kijevcanin, Anisja D.; Sevarac, Zoran, V; Jovanovic, Jelena M., Univ Belgrade, Fac Org Sci, Dept Software Engn, Belgrade 11000, Serbia.","English"
"Journal Article","Chew MY,Yan K","Enhancing Interpretability of Data-Driven Fault Detection and Diagnosis Methodology with Maintainability Rules in Smart Building Management","JOURNAL OF SENSORS","2022","2022","","","HINDAWI LTD","ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, W1T 5HF, ENGLAND","2022-01-04","1687-725X","http://dx.doi.org/10.1155/2022/5975816","10.1155/2022/5975816","Data-driven fault detection and diagnosis (FDD) methods, referring to the newer generation of artificial intelligence (AI) empowered classification methods, such as data science analysis, big data, Internet of things (IoT), industry 4.0, etc., become increasingly important for facility management in the smart building design and smart city construction. While data-driven FDD methods nowadays outperform the majority of traditional FDD approaches, such as the physically based models and mathematically based models, in terms of both efficiency and accuracy, the interpretability of those methods does not grow significantly. Instead, according to the literature survey, the interpretability of the data-driven FDD methods becomes the main concern and creates barriers for those methods to be adopted in real-world industrial applications. In this study, we reviewed the existing data-driven FDD approaches for building mechanical & electrical engineering (M&E) services faults and discussed the interpretability of the modern data-driven FDD methods. Two data-driven FDD strategies integrating the expert reasoning of the faults were proposed. Lists of expert rules, knowledge of maintainability, international/local standards were concluded for various M&E services, including heating, ventilation air-conditioning (HVAC), plumbing, fire safety, electrical and elevator systems based on surveys of 110 buildings in Singapore. The surveyed results significantly enhance the interpretability of data-driven FDD methods for M&E services, potentially enhance the FDD performance in terms of accuracy and promote the data-driven FDD approaches to real-world facility management practices.","","Yan, K (Corresponding Author), Natl Univ Singapore, Dept Built Environm, Singapore 117566, Singapore. Chew, Michael Yit Lin; Yan, Ke, Natl Univ Singapore, Dept Built Environm, Singapore 117566, Singapore.","English"
"Journal Article","Levshun D,Kotenko I","A survey on artificial intelligence techniques for security event correlation: models, challenges, and opportunities","ARTIFICIAL INTELLIGENCE REVIEW","2023","56","8","8547-8590","SPRINGER","VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","2023-08","0269-2821","http://dx.doi.org/10.1007/s10462-022-10381-4","10.1007/s10462-022-10381-4","Information systems need to process a large amount of event monitoring data. The process of finding the relationships between events is called correlation, which creates a context between independent events and previously collected information in real time and normalizes it for subsequent processing. In cybersecurity, events can determine the steps of attackers and can be analyzed as part of a specific attack strategy. In this survey, we present the systematization of security event correlation models in terms of their representation in AI-based monitoring systems as: rule-based, semantic, graphical and machine learning based-models. We define the main directions of current research in the field of AI-based security event correlation and the methods used for the correlation of both single events and their sequences in attack scenarios. We also describe the prospects for the development of hybrid correlation models. In conclusion, we identify the existing problems in the field and possible ways to overcome them.","Event correlation; Security event; Data mining; Situational awareness; Knowledge representation; Cybersecurity","Kotenko, I (Corresponding Author), ITMO Univ, St Petersburg 197101, Russia. Levshun, Diana, Russian Acad Sci SPC RAS, St Petersburg Fed Res Ctr, St Petersburg 199178, Russia. Kotenko, Igor, ITMO Univ, St Petersburg 197101, Russia.","English"
"Journal Article","Adadi A,Berrada M","Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence (XAI)","IEEE ACCESS","2018","6","","52138-52160","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","2018","2169-3536","http://dx.doi.org/10.1109/ACCESS.2018.2870052","10.1109/ACCESS.2018.2870052","At the dawn of the fourth industrial revolution, we are witnessing a fast and widespread adoption of artificial intelligence (AI) in our daily life, which contributes to accelerating the shift towards a more algorithmic society. However, even with such unprecedented advancements, a key impediment to the use of AI-based systems is that they often lack transparency. Indeed, the black-box nature of these systems allows powerful predictions, but it cannot be directly explained. This issue has triggered a new debate on explainable AI (XAI). A research field holds substantial promise for improving trust and transparency of AI-based systems. It is recognized as the sine qua non for AI to continue making steady progress without disruption. This survey provides an entry point for interested researchers and practitioners to learn key aspects of the young and rapidly growing body of research related to XAI. Through the lens of the literature, we review the existing approaches regarding the topic, discuss trends surrounding its sphere, and present major research trajectories.","Explainable artificial intelligence; interpretable machine learning; black-box models","Adadi, A (Corresponding Author), Sidi Mohammed Ben Abdellah Univ, Comp & Interdisciplinary Phys Lab, Fes 30050, Morocco. Adadi, Amina; Berrada, Mohammed, Sidi Mohammed Ben Abdellah Univ, Comp & Interdisciplinary Phys Lab, Fes 30050, Morocco.","English"
"Journal Article","Sholla S,Mir RN,Chishti MA","A Fuzzy Logic-Based Method for Incorporating Ethics in the Internet of Things","INTERNATIONAL JOURNAL OF AMBIENT COMPUTING AND INTELLIGENCE","2021","12","3","98-122","IGI GLOBAL","701 E CHOCOLATE AVE, STE 200, HERSHEY, PA 17033-1240 USA","JUL-SEP 2021","1941-6237","http://dx.doi.org/10.4018/IJACI.2021070105","10.4018/IJACI.2021070105","IoT is expected to have far-reaching consequences on society due to a wide spectrum of applications like smart healthcare, smart transportation, smart agriculture, smart home, etc. However, ethical considerations of AI-enabled smart devices have not been duly considered from a design perspective. In this paper, the authors propose a novel fuzzy logic-based method to incorporate ethics within smart things of IoT. Ethical considerations relevant to a machine context are represented in terms of fuzzy ethics variables (FEVs) and ethics rules. For each ethics rule, a value called scaled ethics value (SEV) is used to indicate its ethical desirability. In order to model flexibility in ethical response, the authors employ the concept of ethics modes that selectively allow scenarios depending on the value of SEV. The method offers a viable mechanism for smart devices to imbue ethical sensitivity that can pave the way for a technology society amenable to human ethics. However, the method does not account for varying ethics, as such incorporating learning mechanisms represent a promising research direction.","Ethics; Fuzzy Logic; Internet of Things; Social implications","Sholla, S (Corresponding Author), Islamic Univ Sci & Technol, Dept Comp Sci & Engn, Awantipora, India. Sholla, Sahil, Islamic Univ Sci & Technol, Dept Comp Sci & Engn, Awantipora, India. Mir, Roohie Naaz, Natl Inst Technol, Dept Comp Sci & Engn, Srinagar, Jammu & Kashmir, India. Chishti, Mohammad Ahsan, Cent Univ Kashmir, Ganderbal, India.","English"
"Journal Article","Pan X,Zhao F,Zhang Y,Wang X,Xiao X,Zhang JZ,Ji C","MolTaut: A Tool for the Rapid Generation of Favorable Tautomer in Aqueous Solution","JOURNAL OF CHEMICAL INFORMATION AND MODELING","2023","63","7","1833-1840","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, DC 20036 USA","2023-04-10","1549-9596","http://dx.doi.org/10.1021/acs.jcim.2c01393","10.1021/acs.jcim.2c01393","Fast and proper treatment of the tautomeric states for drug-like molecules is critical in computer-aided drug discovery since the major tautomer of a molecule determines its pharmacophore features and physical properties. We present MolTaut, a tool for the rapid generation of favorable states of drug-like molecules in water. MolTaut works by enumerating possible tautomeric states with tautomeric transformation rules, ranking tautomers with their relative internal energies and solvation energies calculated by AI-based models, and generating preferred ionization states according to predicted microscopic pKa. Our test shows that the ranking ability of the AI-based tautomer scoring approach is comparable to the DFT method (wB97X/6-31G*// M062X/6-31G*/SMD) from which the AI models try to learn. We find that the substitution effect on tautomeric equilibrium is well predicted by MolTaut, which is helpful in computer-aided ligand design. The source code of MolTaut is freely available to researchers and can be accessed at https://github.com/xundrug/moltaut. To facilitate the usage of MolTaut by medicinal chemists, we made a free web server, which is available at http://moltaut.xundrug.cn. MolTaut is a handy tool for investigating the tautomerization issue in drug discovery.","","Zhang, JZH; Ji, CG (Corresponding Author), East China Normal Univ, Shanghai Engn Res Ctr Mol Therapeut & New Drug Dev, Sch Chem & Mol Engn, Shanghai 200062, Peoples R China. Zhang, JZH; Ji, CG (Corresponding Author), NYU Shanghai, NYU ECNU Ctr Computat Chem, Shanghai 200062, Peoples R China. Zhang, JZH (Corresponding Author), NYU, Dept Chem, New York, NY 10003 USA. Zhang, JZH (Corresponding Author), Chinese Acad Sci, Shenzhen Inst Synthet Biol, Shenzhen Inst Adv Technol, CAS Key Lab Quantitat Engn Biol, Shenzhen 518055, Guangdong, Peoples R China. Zhang, JZH (Corresponding Author), Chinese Acad Sci, Shenzhen Inst Adv Technol, Fac Synthet Biol, Shenzhen 518055, Peoples R China. Zhang, JZH (Corresponding Author), Shanxi Univ, Collaborat Innovat Ctr Extreme Opt, Taiyuan 030006, Shanxi, Peoples R China. Pan, Xiaolin; Zhang, Yueqing; Xiao, Xudong; Zhang, John Z. H.; Ji, Changge, East China Normal Univ, Shanghai Engn Res Ctr Mol Therapeut & New Drug Dev, Sch Chem & Mol Engn, Shanghai 200062, Peoples R China. Pan, Xiaolin; Zhao, Fanyu; Zhang, Yueqing; Wang, Xingyu; Zhang, John Z. H.; Ji, Changge, NYU Shanghai, NYU ECNU Ctr Computat Chem, Shanghai 200062, Peoples R China. Zhao, Fanyu; Zhang, John Z. H., NYU, Dept Chem, New York, NY 10003 USA. Zhang, John Z. H., Chinese Acad Sci, Shenzhen Inst Synthet Biol, Shenzhen Inst Adv Technol, CAS Key Lab Quantitat Engn Biol, Shenzhen 518055, Guangdong, Peoples R China. Zhang, John Z. H., Chinese Acad Sci, Shenzhen Inst Adv Technol, Fac Synthet Biol, Shenzhen 518055, Peoples R China. Zhang, John Z. H., Shanxi Univ, Collaborat Innovat Ctr Extreme Opt, Taiyuan 030006, Shanxi, Peoples R China.","English"
"Journal Article","Zhu G,Liu D,Du Y,You C,Zhang J,Huang K","Toward an Intelligent Edge: Wireless Communication Meets Machine Learning","IEEE COMMUNICATIONS MAGAZINE","2020","58","1","19-25","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","2020-01","0163-6804","http://dx.doi.org/10.1109/MCOM.001.1900103","10.1109/MCOM.001.1900103","The recent revival of AI is revolutionizing almost every branch of science and technology. Given the ubiquitous smart mobile gadgets and IoT devices, it is expected that a majority of intelligent applications will be deployed at the edge of wireless networks. This trend has generated strong interest in realizing an ``intelligent edge'' to support AI-enabled applications at various edge devices. Accordingly, a new research area, called edge learning, has emerged, which crosses and revolutionizes two disciplines: wireless communication and machine learning. A major theme in edge learning is to overcome the limited computing power, as well as limited data, at each edge device. This is accomplished by leveraging the mobile edge computing platform and exploiting the massive data distributed over a large number of edge devices. In such systems, learning from distributed data and communicating between the edge server and devices are two critical and coupled aspects, and their fusion poses many new research challenges. This article advocates a new set of design guidelines for wireless communication in edge learning, collectively called learning- driven communication. Illustrative examples are provided to demonstrate the effectiveness of these design guidelines. Unique research opportunities are identified.","","Huang, KB (Corresponding Author), Univ Hong Kong, Dept EEE, Hong Kong, Peoples R China. Zhu, Guangxu; Liu, Dongzhu; Du, Yuqing; You, Changsheng, Univ Hong Kong, Hong Kong, Peoples R China. Zhu, Guangxu, Shenzhen Res Inst Big Data, Shenzhen, Peoples R China. You, Changsheng, Natl Univ Singapore, Singapore, Singapore. Huang, Kaibin, Univ Hong Kong, Dept EEE, Hong Kong, Peoples R China. Zhang, Jun, Hong Kong Polytech Univ, Dept EIE, Hong Kong, Peoples R China.","English"
"Journal Article","Lundberg H,Mowla I N,Abedin SF,Thar K,Mahmood A,Gidlund M,Raza S","Experimental Analysis of Trustworthy In-Vehicle Intrusion Detection System Using eXplainable Artificial Intelligence (XAI)","IEEE ACCESS","2022","10","","102831-102841","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","2022","2169-3536","http://dx.doi.org/10.1109/ACCESS.2022.3208573","10.1109/ACCESS.2022.3208573","Anomaly-based In-Vehicle Intrusion Detection System (IV-IDS) is one of the protection mechanisms to detect cyber attacks on automotive vehicles. Using artificial intelligence (AI) for anomaly detection to thwart cyber attacks is promising but suffers from generating false alarms and making decisions that are hard to interpret. Consequently, this issue leads to uncertainty and distrust towards such IDS design unless it can explain its behavior, e.g., by using eXplainable AI (XAI). In this paper, we consider the XAI-powered design of such an IV-IDS using CAN bus data from a public dataset, named ``Survival''. Novel features are engineered, and a Deep Neural Network (DNN) is trained over the dataset. A visualization-based explanation, ``VisExp'', is created to explain the behavior of the AI-based IV-IDS, which is evaluated by experts in a survey, in relation to a rule-based explanation. Our results show that experts' trust in the AI-based IV-IDS is significantly increased when they are provided with VisExp (more so than the rule-based explanation). These findings confirm the effect, and by extension the need, of explainability in automated systems, and VisExp, being a source of increased explainability, shows promise in helping involved parties gain trust in such systems.","Artificial intelligence; Intrusion detection; Automotive engineering; Behavioral sciences; Random forests; Deep learning; Trust management; Automotive; intrusion detection system; machine learning; deep learning; XAI; trustworthiness","Raza, S (Corresponding Author), RISE, Lindholmspiren 3A, S-41756 Gothenburg, Sweden. Lundberg, Hampus; Abedin, Sarder Fakhrul; Thar, Kyi; Mahmood, Aamir; Gidlund, Mikael, Mid Sweden Univ, Dept Informat Syst & Technol, S-85170 Sundsvall, Sweden. Mowla, Nishat, I; Raza, Shahid, RISE, Lindholmspiren 3A, S-41756 Gothenburg, Sweden.","English"
"Journal Article","Abououf M,Otrok H,Mizouni R,Singh S,Damiani E","How Artificial Intelligence and Mobile Crowd Sourcing are Inextricably Intertwined","IEEE NETWORK","2021","35","3","252-258","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","MAY-JUN 2021","0890-8044","","","Mobile Crowd Sourcing (MCS) has been an enabler in the development of artificial intelligence (AI) in general, and machine learning in particular. From collecting data to giving meaning to the data, there has been considerable work supporting the use of MCS in AI. While successful, current MCS solutions still suffer from limitations such as workers recruitment, data quality, trust, and so on, that can benefit a great deal from AI. However, the integration of AI in MCS is still at a nascent stage, thus opening various opportunities for further research. In this article, we review and discuss the integration of AI in MCS solutions, highlight its research challenges, and suggest means to address them. We also propose a novel architecture for AI-based MCS, where AI techniques are integrated and embedded in the different layers of MCS framework to provide efficient and trusted MCS applications. In particular, a machine learning (ML)-based selection using behaviors of individual workers is proposed, and its efficacy is gauged by analyzing a use-case study. The results show that by implementing a hybrid approach, the efficiency of selection was considerably improved. This article demonstrates a clear overview of AI-based MCS solutions and provide guidelines on applying AI to solve the current challenges and open issues.","Artificial intelligence; Task analysis; Data integrity; Adaptation models; Training data; Market research; Guidelines","Abououf, M (Corresponding Author), Khalifa Univ, Ctr Cyber Phys Syst, Abu Dhabi, U Arab Emirates. Abououf, Menatalla; Otrok, Hadi; Mizouni, Rabeb; Singh, Shakti; Damiani, Ernesto, Khalifa Univ, Ctr Cyber Phys Syst, Abu Dhabi, U Arab Emirates.","English"
"Journal Article","Otoum S,Al Ridhawi I,Mouftah HT","Preventing and Controlling Epidemics Through Blockchain-Assisted AI-Enabled Networks","IEEE NETWORK","2021","35","3","34-41","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","MAY-JUN 2021","0890-8044","http://dx.doi.org/10.1109/MNET.011.2000669","10.1109/MNET.011.2000669","The COVID-19 pandemic, which spread rapidly in late 2019, has revealed that the use of computing and communication technologies provides significant aid in preventing, controlling, and combating infectious diseases. With the ongoing research in next-generation networking (NGN), the use of secure and reliable communication and networking is of utmost importance when dealing with users' health records and other sensitive information. Through the adaptation of artificial-intelligence-enabled NGN, the shape of healthcare systems can be altered to achieve smart and secure healthcare capable of coping with epidemics that may emerge at any given moment. In this article, we envision a cooperative and distributed healthcare framework that relies on state-of-the-art computing, communication, and intelligence capabilities, namely, federated learning, mobile edge computing, and blockchain, to enable epidemic (or suspicious infectious disease) discovery, remote monitoring, and fast health authority response. The introduced framework can also enable secure medical data exchange at the edge and between different health entities. This technique, coupled with the low latency and high bandwidth functionality of 5G and beyond networks, would enable mass surveillance, monitoring, and analysis to occur at the edge. Challenges, issues, and design guidelines are also discussed in this article with highlights on some trending solutions.","Infectious diseases; Shape; Pandemics; Surveillance; Design methodology; Medical services; Reliability","Otoum, S (Corresponding Author), Zayed Univ, Coll Technol Innovat CTI, Comp Engn, Dubai, U Arab Emirates. Otoum, Safa, Zayed Univ, Coll Technol Innovat CTI, Comp Engn, Dubai, U Arab Emirates. Al Ridhawi, Ismaeel, Kuwait Coll Sci & Technol, Comp Engn, Kuwait, Kuwait. Mouftah, Hussein T., Univ Ottawa, Sch Elect Engn & Comp Sci, Ottawa, ON, Canada.","English"
"Journal Article","Siau K,Wang W","Artificial Intelligence (AI) Ethics: Ethics of AI and Ethical AI","JOURNAL OF DATABASE MANAGEMENT","2020","31","2","74-87","IGI GLOBAL","701 E CHOCOLATE AVE, STE 200, HERSHEY, PA 17033-1240 USA","APR-JUN 2020","1063-8016","http://dx.doi.org/10.4018/JDM.2020040105","10.4018/JDM.2020040105","Artificial intelligence (AI)-based technology has achieved many great things, such as facial recognition, medical diagnosis, and self-driving cars. AI promises enormous benefits for economic growth, social development, as well as human well-being and safety improvement. However, the low-level of explainability, data biases, data security, data privacy, and ethical problems of AI-based technology pose significant risks for users, developers, humanity, and societies. As AI advances, one critical issue is how to address the ethical and moral challenges associated with AI. Even though the concept of ``machine ethics'' was proposed around 2006, AI ethics is still in the infancy stage. AI ethics is the field related to the study of ethical issues in AI. To address AI ethics, one needs to consider the ethics of AI and how to build ethical AI. Ethics of AI studies the ethical principles, rules, guidelines, policies, and regulations that are related to AI. Ethical AI is an AI that performs and behaves ethically. One must recognize and understand the potential ethical and moral issues that may be caused by AI to formulate the necessary ethical principles, rules, guidelines, policies, and regulations for AI (i.e., Ethics of AI). With the appropriate ethics of AI, one can then build AI that exhibits ethical behavior (i.e., Ethical AI). This paper will discuss AI ethics by looking at the ethics of AI and ethical AI. What are the perceived ethical and moral issues with AI? What are the general and common ethical principles, rules, guidelines, policies, and regulations that can resolve or at least attenuate these ethical and moral issues with AI? What are some of the necessary features and characteristics of an ethical AI? How to adhere to the ethics of AI to build ethical AI?","AI Ethics; Artificial Intelligence; Ethical AI; Ethics; Ethics of AI; Machine Ethics; Roboethics","Siau, K (Corresponding Author), Missouri Univ Sci & Technol, Dept Business & Informat Technol, Rolla, MO 65409 USA. Siau, Keng, Missouri Univ Sci & Technol, Dept Business & Informat Technol, Rolla, MO 65409 USA. Wang, Weiyu, Missouri Univ Sci & Technol, Rolla, MO 65409 USA.","English"
"Journal Article","Shanti MZ,Cho CS,Byon YJ,Yeun CY,Kim TY,Kim SK,Altunaiji A","A Novel Implementation of an AI-Based Smart Construction Safety Inspection Protocol in the UAE","IEEE ACCESS","2021","9","","166603-166616","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","2021","2169-3536","http://dx.doi.org/10.1109/ACCESS.2021.3135662","10.1109/ACCESS.2021.3135662","The safety of workers at construction sites is one of the most important aspects that should be considered while performing their required tasks. Many rules and regulations have been implemented in the UAE to reduce injuries and fatalities in the jobsites. However, the number of accidents continues to increase. For instance, an accident category of fall-from-height is considered as the top cause of injuries and fatalities. Thus, this paper develops a novel technique that monitors the workers whether they are complying with a safety standard of the Personal Fall Arrest System (PFAS). This paper establishes a real time detection algorithm based on a Convolutional Neural Network (CNN) model in order to detect two main components of the PFAS that are, safety harness and life-line, in addition to a standard safety measure of using a safety helmet. The YOLOv3 algorithm is adopted for a deep learning network used to train the desired model. The model achieved an accuracy rate of 91.26% and around 99% precision. Moreover, the overall recall of the model was 90.2%. The obtained results verify the effectiveness of our proposed model in construction sites to control potential violations and to avoid unnecessary accidents. The main contribution of this paper is to provide an AI-based image detection framework to mitigate the likelihood of fall-from-height accidents.","Safety; Artificial intelligence; Accidents; Injuries; Regulation; Inspection; Head; Accidents; CNN; detection; fall from heights; PFAS; YOLOv3","Cho, CS (Corresponding Author), Khalifa Univ Sci & Technol, Dept Civil Infrastruct & Environm Engn, Abu Dhabi, U Arab Emirates. Shanti, Mohammad Z.; Cho, Chung-Suk; Byon, Young-Ji; Kim, Tae-Yeon, Khalifa Univ Sci & Technol, Dept Civil Infrastruct & Environm Engn, Abu Dhabi, U Arab Emirates. Yeun, Chan Yeob; Kim, Song-Kyoo; Altunaiji, Ahmed, Khalifa Univ Sci & Technol, Dept Elect Engn & Comp Sci, Abu Dhabi, U Arab Emirates. Kim, Song-Kyoo, Macao Polytech Inst, Sch Appl Sci, Macau, Peoples R China.","English"
"Journal Article","Yang Y,Siau K,Xie W,Sun Y","Smart Health: Intelligent Healthcare Systems in the Metaverse, Artificial Intelligence, and Data Science Era","JOURNAL OF ORGANIZATIONAL AND END USER COMPUTING","2022","34","1","","IGI GLOBAL","701 E CHOCOLATE AVE, STE 200, HERSHEY, PA 17033-1240 USA","2022","1546-2234","http://dx.doi.org/10.4018/JOEUC.308814","10.4018/JOEUC.308814","In recent decades, healthcare organizations around the world have increasingly appreciated the value of information technologies for a variety of applications. Three of the new technological advancements that are impacting smart health are metaverse, artificial intelligence (AI), and data science. The metaverse is the intersection of three major technologies - AI, augmented reality (AR), and virtual reality (VR). Metaverse provides new possibilities and potential that are still emerging. The increased work efficiency enabled by artificial intelligence and data science in hospitals not only improves patient care but also cuts costs and workload for healthcare providers. Artificial intelligence, coupled with machine learning, is transforming the healthcare industry. The availability of big data enables data scientists to use the data for descriptive, predictive, and prescriptive analytics. This article reviews multiple case studies and the literature on AI and data science applications in hospital administration. The article also presents unresolved research questions and challenges in the applications of the metaverse, AI, and data science in the smart health context. For researchers, in addition to providing a good synopsis of the development and applications of the metaverse, AI, and data science in the healthcare area, this article identifies possible future research directions and discusses the possibilities of the metaverse, artificial intelligence, and data science in smart health. For practitioners, this article provides both hospital decision-makers and healthcare workers with practical guidelines and a smart health management model.","Artificial Intelligence; Data Science; Hospital Management; Smart Health; Smart Hospital","Siau, K (Corresponding Author), City Univ Hong Kong, Dept Informat Syst, Hong Kong, Peoples R China. Siau, K (Corresponding Author), City Univ Hong Kong, Informat Syst, Hong Kong, Peoples R China. Yang, Yin, Sichuan Univ, West China Hosp, Chengdu, Sichuan, Peoples R China. Siau, Keng, City Univ Hong Kong, Dept Informat Syst, Hong Kong, Peoples R China. Siau, Keng, City Univ Hong Kong, Informat Syst, Hong Kong, Peoples R China. Xie, Wen, Sichuan Univ, West China Hosp, Inst Syst Genet, Chengdu, Sichuan, Peoples R China. Sun, Yan, Nanyang Technol Univ, Lee Kong Chain Sch Med, Singapore, Singapore.","English"
"Journal Article","Liu Y,Yang K","Communication, sensing, computing and energy harvesting in smart cities","IET SMART CITIES","2022","4","4","265-274","WILEY","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","2022-12","","http://dx.doi.org/10.1049/smc2.12041","10.1049/smc2.12041","A smart city provides diverse services based on real-time data obtained from different devices deployed in urban areas. These devices are largely battery-powered and widely placed. Therefore, providing continuous energy to these devices and ensuring their efficient sensing and communications are critical for the wide deployment of smart cities. To achieve frequent and effective data exchange, advanced enabling information and communication technology (ICT) infrastructure is in urgent demand. An ideal network in future smart cities should be capable of sensing the physical environment and intelligently mapping the digital world. Therefore, in this paper, we propose design guidelines on how to integrate communications with sensing, computing and/or energy harvesting in the context of smart cities, aiming to offer research insights on developing integrated communications, sensing, computing and energy harvesting (ICSCE) for promoting the development ICT infrastructure in smart cities. To put these four pillars of smart cities together and to take advantage of ever-increasing artificial intelligence (AI) technologies, the authors propose a promising AI-enabled ICSCE architecture by leveraging the digital twin network. The proposed architecture models the physical deep neural network-aided ICSCE system in a virtual space, where offline training is performed by using the collected real-time data from the environment and physical devices.","Energy harvesting; IoT and mobile communications; networks and telematics; smart cities","Yang, K (Corresponding Author), Univ Essex, Sch Comp Sci & Elect Engn, Colchester, Essex, England. Liu, Yusha; Yang, Kun, Univ Elect Sci & Technol China, Sch Informat & Commun Engn, Chengdu, Peoples R China. Yang, Kun, Univ Essex, Sch Comp Sci & Elect Engn, Colchester, Essex, England.","English"
