"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An Adaptive Service-Oriented Business Management Pattern Based on Machine Learning Rule ML","M. N; K. D. V. Prasad; K. Soujanya; D. Chandra Dobhal; M. Ali; M. A. Tripathi","CMR Institute of Technology; Symbiosis Institute of Business Management, Hyderabad Symbiosis International (Deemed University), Pune; Department of BBA, Koneru Lakshmaiah Educational Foundation, Vaddeswaram; Department of Computer Science & Engineering, Graphic Era Deemed to be University, Dehradun, Uttarakhand, India; Department of Computer Science, Khazar University, Baku, Azerbaijan; Department of Humanities and Social Sciences, Motilal Nehru National Institute of Technology, Allahabad","2023 3rd International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE)","24 Jul 2023","2023","","","1672","1676","The significance of artificial intelligence (AI) and machine learning (ML) for businesses is briefly and comprehensively discussed in this study. AI is a new trend and technology of the modern era that offers numerous advantages to businesses. AI and machine learning save the company money by lowering over- all business operations costs. In addition, it enables businesses to effectively solve business issues and helps them make better decisions about their processes. Customers can communicate with the AI-based chat bots at any time, day or night, and they can answer their questions about any business or product. Based on business operations, ML creates opportunities for businesses and automates the process completely. In addition, the ML effectively enhances cognitive engagement between employees and customers and offers solutions to customer issues like password issues and many others. In addition, the study contains the strategies and procedures utilized in its completion. In this study, the researcher has used secondary qualitative and quantitative methods to collect data. Companies must comprehend the augmentation and automation process in order to implement AI and ML in business operations. In addition, the type of business is used to describe the Al’s market size in percentage and dollars.","","979-8-3503-9926-4","10.1109/ICACITE57410.2023.10183158","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10183158","service oriented;knowledge base;XML;computing service","Computational modeling;Standards organizations;Semantics;Machine learning;Companies;Market research;Turning","","","","19","IEEE","24 Jul 2023","","","IEEE","IEEE Conferences"
"Socio-Technical Grounded Theory for Software Engineering","R. Hoda","Faculty of Information Technology, Monash University, Melbourne, VIC, Australia","IEEE Transactions on Software Engineering","18 Oct 2022","2022","48","10","3808","3832","Grounded Theory (GT), a sociological research method designed to study social phenomena, is increasingly being used to investigate the human and social aspects of software engineering (SE). However, being written by and for sociologists, GT is often challenging for a majority of SE researchers to understand and apply. Additionally, SE researchers attempting ad hoc adaptations of traditional GT guidelines for modern socio-technical (ST) contexts often struggle in the absence of clear and relevant guidelines to do so, resulting in poor quality studies. To overcome these research community challenges and leverage modern research opportunities, this paper presents Socio-Technical Grounded Theory (STGT) designed to ease application and achieve quality outcomes. It defines what exactly is meant by an ST research context and presents the STGT guidelines that expand GT's philosophical foundations, provide increased clarity and flexibility in its methodological steps and procedures, define possible scope and contexts of application, encourage frequent reporting of a variety of interim, preliminary, and mature outcomes, and introduce nuanced evaluation guidelines for different outcomes. It is hoped that the SE research community and related ST disciplines such as computer science, data science, artificial intelligence, information systems, human computer/robot/AI interaction, human-centered emerging technologies (and increasingly other disciplines being transformed by rapid digitalisation and AI-based augmentation), will benefit from applying STGT to conduct quality research studies and systematically produce rich findings and mature theories with confidence.","1939-3520","","10.1109/TSE.2021.3106280","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9520216","Socio-technical grounded theory;STGT;grounded theory;GT;software engineering;research method;theory;theory development;qualitative research;data analysis;guidelines;evaluation","Guidelines;Data collection;Software engineering;Tools;Systematics;Sociology;Encoding","","30","","95","IEEE","20 Aug 2021","","","IEEE","IEEE Journals"
"AI based MPPT methods for grid connected PV systems under non linear changing solar irradiation","A. Arora; P. Gaur","Dept. of Instrumentation and Control Engineering; Netaji Subhas Institute of Technology (NSIT) University of Delhi, India","2015 International Conference on Advances in Computer Engineering and Applications","23 Jul 2015","2015","","","542","547","This paper presents the artificial neural network (ANN), fuzzy logic controller (FLC) maximum power point tracking (MPPT) methods in grid connected photovoltaic (PV) systems for optimizing the solar energy efficiency. All the methods are simulated in MATLAB-Simulink, respectively together with SunPower-SPR305 PV module connected to single-ended primary inductor converter (SEPIC). Performance assessment covers efficiency, overshoot, settling time response, oscillations and stability.","","978-1-4673-6911-4","10.1109/ICACEA.2015.7164752","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7164752","Maximum power point tracking;Artificial Neural Network;Fuzzy Logic Controller;Photovoltaic;Single-ended primary inductor converter","Artificial neural networks;Radiation effects;Maximum power point trackers;Mathematical model;Fuzzy logic;Niobium;Computers","","9","","9","IEEE","23 Jul 2015","","","IEEE","IEEE Conferences"
"Novel Four-Layered Software Defined 5G Architecture for AI-based Load Balancing and QoS Provisioning","S. Hongvanthong","School of Computer Science, Wuhan University of Technology, Wuhan, China","2020 5th International Conference on Computer and Communication Systems (ICCCS)","16 Jun 2020","2020","","","859","863","Software defined 5G network (SD-5G) is an evolving networking technology. The integration of SDN and 5G brings scalability, and efficiency. However, Quality of Service (QoS) provision is still challenging in SD-5G due to improper load balancing, traffic unawareness and so on. To overwhelm these issues this paper designs a novel load balancing scheme using Artificial Intelligence (AI) techniques. Firstly, novel four-layered SD-5G network is designed with user plane, smart data plane, load balancing plane, and distributed control plane. In the context to 5G, the data transmission rate must satisfy the QoS constraints based on the traffic type such as text, audio, video etc. Thus, the data from the user plane is classified by Smart Traffic Analyzer in the data plane. For traffic analysis, Enriched Neuro-Fuzzy (ENF) classifier is proposed. In the load balancing plane, Primary Load balancer and Secondary Load Balancer are deployed. This plane is responsible for balancing the load among controllers. For controller load balancing, switch migration is presented. Overloaded controller is predicted by Entropy function. Then decision for migration is made by Fitness-based Reinforcement Learning (F-RL) algorithm. Finally, the four-layered SD-5G network is modeled in the NS-3.26. The observations shows that the proposed work improves the SD-5G network in terms of Loss Rate, Packet Delivery Rate, Delay, and round trip time.","","978-1-7281-6136-5","10.1109/ICCCS49078.2020.9118463","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9118463","QoS;software defined 5G network;Artificial intelligence;distributed control plane","Switches;Load management;Quality of service;5G mobile communication;Monitoring;Feature extraction","","4","","16","IEEE","16 Jun 2020","","","IEEE","IEEE Conferences"
"AI Enabled IoT based Intelligent Waste Water Management System for Municipal Waste Water Treatment Plant","K. L. Narayanan; R. Karthik Ganesh; S. T. Bharathi; A. Srinivasan; R. S. Krishnan; S. Sundararajan","Francis Xavier Engineering College, Tirunelveli; SCAD College of Engineering and Technology, Tirunelveli; PSNA College of Engineering and Technology, Dindigul; Velammal College of Engineering and Technology, Madurai; SCAD College of Engineering and Technology, Tirunelveli; SCAD College of Engineering and Technology, Tirunelveli","2023 International Conference on Inventive Computation Technologies (ICICT)","1 Jun 2023","2023","","","361","365","Water is considered to be an essential part of human life, it is our individual responsibility to utilize the water with utmost care. Agriculture is considered to be an important factor in the growth of the economy which also depends upon the availability of water. Rainfall in today's scenario is unpredictable and uncertain as the monsoon rainfalls are irregular in recent days, this causes serious water scarcity and agriculture failure in most places. To overcome these problems, various technologies are adopted in the field of agriculture to make the irrigation system more effective. This research study adopts a novel Artificial Intelligence (AI) based system to properly manage the usage of water in Municipal Wastewater Treatment Plants with the help of the Internet of Things (IoT). This system runs on a central Atmega 328p Microcontroller connected with an ESP 8266 Wi-Fi on the chip. Various parameters of the water such as pH, conductivity, color, smell, and temperature are recorded in the cloud server, which is analyzed with an AI-based system to decide whether the water can be reused or it can be passed to the garden for irrigation.","2767-7788","979-8-3503-9849-6","10.1109/ICICT57646.2023.10134075","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10134075","Agriculture;Artificial Intelligence;Atmega 328p;ESP8266;Internet of Things;Cloud Server","Irrigation;Cloud computing;Monsoons;Sensors;Servers;Internet of Things;Wastewater","","1","","15","IEEE","1 Jun 2023","","","IEEE","IEEE Conferences"
"Performance Analysis of AI-based Optical guiding Device for visually compromised person","P. Srivastava; P. Shrivastav; N. Chaturvedi; R. L. Yadava","Department of Electronics and Communication, Galgotia College of Engineering and Technology, Greater Noida, India; Department of Electronics and Communication, Galgotia College of Engineering and Technology, Greater Noida, India; Department of Electronics and Communication, Galgotia College of Engineering and Technology, Greater Noida, India; Department of Electronics and Communication, Galgotia College of Engineering and Technology, Greater Noida, India","2022 International Conference on Smart Technologies and Systems for Next Generation Computing (ICSTSN)","25 Apr 2022","2022","","","1","5","To defeat the voyaging trouble for an outwardly impeded individual in chiefly outside climate, this paper presents a thought of savvy directing gadget dependent on CNN and fuzzy to distinguish snags like bicycle, vehicle, individual and give an appropriate sound criticism to the client in the wake of working out speed, distance and in the wake of applying fuzzy to exact the result. Work is to diminish the different sensors of distance and speed estimating and perform calculation on pictures to set exact outcomes up to make it financially savvy. It is a difficult situation for blind individual to stroll on themselves in free space or in street of snags. Different techniques have appeared for directing them to move like headlock strategies, multi-sensors combination Algorithm, yet among every one of them because of utilization of sensors its size turns out to be enormous and furthermore get high in cost. To lessen this, we have presented different calculations for exact speed and distance estimations in order to give appropriate sound criticism.","","978-1-6654-2111-9","10.1109/ICSTSN53084.2022.9761308","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9761308","ANN;CNN;RNN;SLAM;RDG-B","Integrated optics;Costs;Estimation;Bicycles;Cameras;Performance analysis;Optical sensors","","","","9","IEEE","25 Apr 2022","","","IEEE","IEEE Conferences"
"Multiple AI Based Web Mining","R. Singh; A. Gehlot","Uttaranjal Institute of Technology, Uttaranjal University, Dehradun, India; Uttaranjal Institute of Technology, Uttaranjal University, Dehradun, India","2022 International Interdisciplinary Humanitarian Conference for Sustainability (IIHC)","17 Mar 2023","2022","","","1239","1244","Artificial intelligence (AI) refers to the computational process of finding, identifying, and evaluating patterns in huge data sets using techniques that lie at the confluence of machine learning, statistics, and database strategies. Its major purpose is to extract relevant information from raw data sets and reformat them into the desired format for analysis and application. Web Mining (WM), an expanding viewpoint of data mining, encompasses all data mining and associated processes. It is employed for automatically locating and extracting data from online records and services. So, the goal of WM is to glean useful information from the web. Given its significance, this research conducts a survey of DM methods for web mining.","","978-1-6654-5687-6","10.1109/IIHC55949.2022.10059948","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10059948","Web Mining;Artificial Intelligence;Social Networks and World Wide Web","Industries;Knowledge based systems;Web mining;Machine learning;User interfaces;Software systems;Web sites","","","","35","IEEE","17 Mar 2023","","","IEEE","IEEE Conferences"
"AI based Automated Essay Grading System using NLP","V. Suresh; R. Agasthiya; J. Ajay; A. A. Gold; D. Chandru","Computer Science and Engineering, Dr. N.G.P Institute of Technology, Coimbatore, India; Computer Science and Engineering, Dr. N.G.P Institute of Technology, Coimbatore, India; Computer Science and Engineering, Dr. N.G.P Institute of Technology, Coimbatore, India; Computer Science and Engineering, Dr. N.G.P Institute of Technology, Coimbatore, India; Computer Science and Engineering, Dr. N.G.P Institute of Technology, Coimbatore, India","2023 7th International Conference on Intelligent Computing and Control Systems (ICICCS)","8 Jun 2023","2023","","","547","552","The goal of this proposed work is to develop an AI-powered system for automated essay grading. The system will utilize natural language processing and Graph based techniques to analyze, and grade written essays. It not only checks the syntax, semantics and grammar but also grades according to the similarity of sentences using a Graph based approach. The system will be trained on a dataset of labelled essays and will be able to accurately grade new essays based on their content and writing quality. The system can be able to integrate with existing learning management systems. The goal is to provide a more efficient and accurate essay grading process, so the teachers can provide valuable feedback to students. The proposed work aims to develop an automated essay grading system using AI technology. The system will be able to analyze, and grade written essays by using natural language processing and machine learning techniques. The system will be trained on a dataset of labelled essays, which will be used to teach the system to recognize patterns and characteristics of high-quality writing. This will enable the system to accurately grade new essays based on their content and writing quality.","2768-5330","979-8-3503-9725-3","10.1109/ICICCS56967.2023.10142822","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10142822","Natural Language Processing;Automated Essay Scoring;Artificial Intelligence;Essay Scoring System;Neural Network","Learning management systems;Text analysis;Machine learning algorithms;Semantics;Neural networks;Process control;Syntactics","","","","15","IEEE","8 Jun 2023","","","IEEE","IEEE Conferences"
"Developing AI-based Fraud Detection Systems for Banking and Finance","S. Dash; S. Das; S. Sivasubramanian; N. K. Sundaram; H. K. G; T. Sathish","School of Computer Science and Engineering, VIT-AP University, Amaravati, Andhra Pradesh, India; KL Business School, Koneru Lakshmaiah Education Foundation, Vaddeswaram, Andhra Pradesh, India; Department of Information Technology, New Prince Shri Bhavani College of Engineering and Technology, Chennai, Tamil Nadu, India; Department of Information Technology, New Prince Shri Bhavani College of Engineering and Technology, Chennai, Tamil Nadu, India; Department of Computer Science, JSS Academy of Technical Education, Noida, Uttar Pradesh, India; Department of Mechanical Engineering, Saveetha School of Engineering, Chennai, Tamil Nadu, India","2023 5th International Conference on Inventive Research in Computing Applications (ICIRCA)","28 Aug 2023","2023","","","891","897","Safeguarding financial institutions and their consumers against fraudulent activity makes fraud detection a top priority in the banking and finance business. There has been a rise in the development of artificial intelligence-based fraud detection systems in tandem with the popularity of machine learning methods. This study presents a comprehensive evaluation of modern machine learning approaches like neural networks in comparison to more conventional ones like logistic regression and decision trees. These techniques are tested using financial and banking data from the real world, and the findings indicate that neural networks are superior to more conventional approaches. In addition, our research emphasizes the significance of data gathering and administration in the evolution of fraud detection systems.","","979-8-3503-2142-5","10.1109/ICIRCA57980.2023.10220838","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10220838","Fraud detection;Finance;Banking;Machine learning;Artificial intelligence;Decision trees;Logistic regression;Neural networks;Data management;Performance evaluation;Legal frameworks","Logistic regression;Neural networks;Finance;Banking;Machine learning;Fraud;Regression tree analysis","","","","15","IEEE","28 Aug 2023","","","IEEE","IEEE Conferences"
"A NLU-based method for a first level automatic categorization of AI-based security documents","A. Psarologou; M. Virvou; N. G. Bourbakis",NA; NA; NA,"IISA 2013","10 Oct 2013","2013","","","1","7","Managing and organizing the information is a difficult subject. Especially in our time with the plethora of available sources accessible to the public, basically through the Internet, the volume of these pieces of information becomes larger and larger. The purpose of this dissertation is the creation of a model of documents' categorization. Our goal is to illustrate an as possible automated way of classification that takes into consideration the meaning of the documents. The way in which a human evaluates and classifies documents is followed in this proposed methodology. We also illustrate some empirical examples of the function of our classification method.","","978-1-4799-0771-7","10.1109/IISA.2013.6623729","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6623729","document categorization;natural language understanding","Intrusion detection;Unsolicited electronic mail;Filtering;Classification algorithms;Learning (artificial intelligence)","","","","22","IEEE","10 Oct 2013","","","IEEE","IEEE Conferences"
"The Research and Construction of the AI-Based Knowledge Graph in Multi-Dimensional Data","J. Zhou","School of Information Engineering, Wuhan Business University, Wuhan City, Hubei Province, China","2023 International Conference on Computer Engineering and Distance Learning (CEDL)","12 Dec 2023","2023","","","1","6","With the development of deep learning and the knowledge graph, artificial intelligence has had a significant influence on the area of education as a result of the rapid growth of this age, which has profoundly altered human productivity and daily life. The university is undergoing a digital transformation. The essence of the knowledge graph is the knowledge base of the semantic network. Using natural language processing (NLP) technology, the university can construct a knowledge graph. Integrating knowledge graphs and deep learning has become one of the most important aspects of further improving the effect of deep learning. The solution to knowledge graph processing data is “algorithm, totalization, and implementation”. The key technologies of constructing knowledge graphs in multi-dimensional data mainly focus on knowledge ontology definition, knowledge representation, knowledge modeling, knowledge extraction, knowledge fusion, knowledge processing, knowledge computing, and other technologies. The research in this paper shows that the RDF model and algorithm of the knowledge graph have application prospects in multi-dimensional data.","","979-8-3503-2903-2","10.1109/CEDL60560.2023.00008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10337415","natural language processing;data;entity;knowledge graph","Deep learning;Productivity;Computational modeling;Semantics;Knowledge based systems;Knowledge graphs;Ontologies","","","","8","IEEE","12 Dec 2023","","","IEEE","IEEE Conferences"
"Rule-Augmented Artificial Intelligence-empowered Systems for Medical Diagnosis using Large Language Models","D. P. Panagoulias; F. A. Palamidas; M. Virvou; G. A. Tsihrintzis","Department of Informatics, University of Piraeus, Piraeus, Greece; Department of Medicine, Aristotle University of Thessaloniki, Thessaloniki, Greece; Department of Informatics, University of Piraeus, Piraeus, Greece; Department of Informatics, University of Piraeus, Piraeus, Greece","2023 IEEE 35th International Conference on Tools with Artificial Intelligence (ICTAI)","20 Dec 2023","2023","","","70","77","In this paper, we investigate the enhancement of Artificial Intelligence (AI) technologies in healthcare and the better understanding of medical literature with the use of Large Language Models (LLMs) and Natural Language Processing (NLP). Specifically, we introduce a rule-augmented AI-empowered system which incorporates a rule-based decision system, the ChatGPT application programming interface (API), and other external machine learning and analytical APIs to offer diagnostic suggestions to patients. The complexities of patient healthcare experiences, including doctor-patient interactions, understanding levels, treatment procedures, and preventive care, are considered. We illustrate how a diagnostic process typically integrates various strategies depending on various factors. To digitize the greatest portion of the process, we propose and illustrate the use of LLMs for humanizing the communication process and investigating ways to reduce burdens and costs in primary healthcare. We also outline a theoretical decision model for evaluating the use of technological components from external sources versus building them from scratch. The paper is structured into sections detailing background theories and context, our proposed and implemented rule-augmented AI-empowered system, as well as a system test in a corresponding use case. Finally, the paper key findings are presented, which contribute valuable insights for future work in this field.","2375-0197","979-8-3503-4273-4","10.1109/ICTAI59109.2023.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10356438","AI-empowered software engineering;explainability;ChatGPT;LLM;NLP;prompt-engineering","Costs;Buildings;Machine learning;Chatbots;Software;Complexity theory;Medical diagnosis","","1","","33","IEEE","20 Dec 2023","","","IEEE","IEEE Conferences"
"RLOps: Development Life-Cycle of Reinforcement Learning Aided Open RAN","P. Li; J. Thomas; X. Wang; A. Khalil; A. Ahmad; R. Inacio; S. Kapoor; A. Parekh; A. Doufexi; A. Shojaeifard; R. J. Piechocki","Department of Electrical and Electronic Engineering, University of Bristol, Bristol, U.K; Department of Electrical and Electronic Engineering, University of Bristol, Bristol, U.K; Department of Electrical and Electronic Engineering, University of Bristol, Bristol, U.K; Department of Electrical and Electronic Engineering, University of Bristol, Bristol, U.K; Vilicom U.K. Ltd., Reading, U.K; Vilicom U.K. Ltd., Reading, U.K; Applied Research, Suffolk, U.K; Applied Research, Suffolk, U.K; Department of Electrical and Electronic Engineering, University of Bristol, Bristol, U.K; InterDigital Communications Inc., Wilmington, DE, USA; Department of Electrical and Electronic Engineering, University of Bristol, Bristol, U.K","IEEE Access","7 Nov 2022","2022","10","","113808","113826","Radio access network (RAN) technologies continue to evolve, with Open RAN gaining the most recent momentum. In the O-RAN specifications, the RAN intelligent controllers (RICs) are software-defined orchestration and automation functions for the intelligent management of RAN. This article introduces principles for machine learning (ML), in particular, reinforcement learning (RL) applications in the O-RAN stack. Furthermore, we review the state-of-the-art research in wireless networks and cast it onto the RAN framework and the hierarchy of the O-RAN architecture. We provide a taxonomy for the challenges faced by ML/RL models throughout the development life-cycle: from the system specification to production deployment (data acquisition, model design, testing and management, etc.). To address the challenges, we integrate a set of existing MLOps principles with unique characteristics when RL agents are considered. This paper discusses a systematic model development, testing and validation life-cycle, termed: RLOps. We discuss fundamental parts of RLOps, which include: model specification, development, production environment serving, operations monitoring and safety/security. Based on these principles, we propose the best practices for RLOps to achieve an automated and reproducible model development process. At last, a holistic data analytics platform rooted in the O-RAN deployment is designed and implemented, aiming to embrace and fulfil the aforementioned principles and best practices of RLOps.","2169-3536","","10.1109/ACCESS.2022.3217511","Innovate UK/CELTIC-NEXT European collaborative project on AI-enabled Massive MIMO (AIMM); Next-Generation Converged Digital Infrastructure (NG-CDI) Project; BT and Engineering and Physical Sciences Research Council (EPSRC)(grant numbers:EP/R004935/1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9931127","O-RAN;machine learning;reinforcement learning;MLOps;RLOps;digital twins;data engineering","Radio access networks;Computer architecture;Reinforcement learning;Task analysis;Adaptation models;3GPP;Biological system modeling","","7","","96","CCBY","26 Oct 2022","","","IEEE","IEEE Journals"
"Generative AI-Empowered Simulation for Autonomous Driving in Vehicular Mixed Reality Metaverses","M. Xu; D. Niyato; J. Chen; H. Zhang; J. Kang; Z. Xiong; S. Mao; Z. Han","School of Computer Science and Engineering, Nanyang Technological University, Singapore, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Singapore, Singapore; School of Automation, Guangdong University of Technology, Guangzhou, China; School of Electronics, Peking University, Beijing, China; School of Automation, Guangdong University of Technology, Guangzhou, China; Pillar of Information Systems Technology and Design, Singapore University of Technology and Design, Singapore, Singapore; Department of Electrical and Computer Engineering, Auburn University, Auburn, AL, USA; Department of Electrical and Computer Engineering, University of Houston, Houston, TX, USA","IEEE Journal of Selected Topics in Signal Processing","15 Nov 2023","2023","17","5","1064","1079","In the vehicular mixed reality (MR) Metaverse, the discrepancy between physical and virtual entities can be overcome by fusing the physical and virtual environments with multi-dimensional communications in autonomous driving systems. Assisted by digital twin (DT) technologies, connected autonomous vehicles (AVs), roadside units (RSUs), and virtual simulators can maintain the vehicular MR Metaverse via simulations for sharing data and making driving decisions collaboratively. However, it is challenging and costly to enable large-scale traffic and driving simulation via realistic data collection and fusion from the physical world for online prediction and offline training in autonomous driving systems. In this paper, we propose an autonomous driving architecture, where generative AI is leveraged to synthesize unlimited conditioned traffic and driving data via simulations for improving driving safety and traffic control efficiency. First, we propose a multi-task DT offloading model for the reliable execution of heterogeneous DT tasks with different requirements at RSUs. Then, based on the preferences of AV's DTs and real-world data, virtual simulators can synthesize unlimited conditioned driving and traffic datasets for improved robustness. Finally, we propose a multi-task enhanced auction-based mechanism to provide fine-grained incentives for RSUs on providing resources for autonomous driving. The property analysis and experimental results demonstrate that the proposed mechanism and architecture are strategy-proof and effective.","1941-0484","","10.1109/JSTSP.2023.3293650","NSF(grant numbers:CNS-2148382); National Key R&D Project of China(grant numbers:2022YFE0111900); National Natural Science Foundation of China(grant numbers:62102099); Guangdong Provincial Pearl River Talents Program(grant numbers:2021QN02S643); Guangzhou Basic Research Program(grant numbers:2023A04J1699); National Natural Science Foundation of China(grant numbers:U22A2054,62101594); National Research Foundation Singapore; Infocomm Media Development Authority through its Future Communications Research and Development Programme; DSO National Laboratories through AI Singapore Programme(grant numbers:AISG2-RP-2020-019); Energy Research Test-Bed and Industry Partnership Funding Initiative; Energy Grid (EG) 2.0 Programme; DesCartes; Campus for Research Excellence and Technological Enterprise (CREATE) Programme(grant numbers:RG87/22); Singapore University of Technology and Design(grant numbers:SRG-ISTD-2021165); SUTD-ZJU IDEA(grant numbers:202102); Ministry of Education - Singapore; SUTD Kickstarter Initiative(grant numbers:20210204); NSF(grant numbers:CNS2107216,CNS-2128368,CMMI-2222810,ECCS-2302469); U.S. Department of Transportation; Toyota Motor Corporation; Amazon; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10177684","Autonomous driving;Metaverse;generative artificial intelligence;auction theory","Task analysis;Autonomous vehicles;Data models;Computational modeling;Artificial intelligence;Training;Metaverse","","6","","49","IEEE","10 Jul 2023","","","IEEE","IEEE Journals"
"Rough set based system for effective E-learning","H. Rana; Rajiv; M. Lal","Research Cell, UCMS University College of Medical Sciences, Delhi, India; SOCIS, IGNOU, Delhi, India; SOCIS, IGNOU, Delhi, India","2014 International Conference on Computing for Sustainable Global Development (INDIACom)","12 Jun 2014","2014","","","192","196","To achieve intelligence over the web is underlying research topic and continuous efforts have been made in this direction. The results of these efforts in its practical form of applications have been achieved using modern tools & techniques. Artificial Intelligence (AI) has evolved as one of the promising technology for achieving intelligence over web. To facilitate quality education, the identification & selection of various factors that may influence a students' academic performance is very important. Knowing these factors is important for parents & teachers working positively on these factors may improve the performance of the student. . In this paper we propose an approach of decision rule induction to induce knowledge that can facilitate the proper decision making process. The approach for rule induction process is based on AI based rough set theory. The proposed system may be seen as a helping hand to creators of contents, educators and teachers of the course.","","978-93-80544-12-0","10.1109/IndiaCom.2014.6828126","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6828126","AI;DSS;Decision support system;Rule induction;Rough Sets;RSES;RSES 2.2;RST based Decision system","Approximation methods;Rough sets;Decision support systems;Educational institutions","","4","","16","","12 Jun 2014","","","IEEE","IEEE Conferences"
"Overview of an AI-Based Methodology for Design: Case Study of a High Efficiency Electric Vehicle Chassis for the Shell Eco-Marathon","J. A. de la Tejera; R. A. Ramirez-Mendoza; M. R. Bustamante-Bello; P. Orta-Castañón; L. A. Arce-Saenz",School of Engineering and Sciences Tecnologico de Monterrey; School of Engineering and Sciences Tecnologico de Monterrey; School of Engineering and Sciences Tecnologico de Monterrey; School of Engineering and Sciences Tecnologico de Monterrey; School of Engineering and Sciences Tecnologico de Monterrey,"2023 International Symposium on Electromobility (ISEM)","6 Dec 2023","2023","","","1","8","The design process of a chassis for a high-efficiency vehicle involves considering several unique parameters due to its distinct operational needs. The constraints specified in the official regulations for the Shell Eco-Marathon prototype battery electric class could ostensibly limit design innovations. However, this paper introduces a methodological approach employing Machine Learning, facilitated by Large Language Models, which substantially broadens the spectrum of conceptual design possibilities. Further, the widely recognized technique of Computer-Aided Design, coupled with Generative Design, is leveraged to optimize specific sections of the chassis structure. The final stage of this study involves rigorous testing of the designed chassis to assess its mechanical performance, guided by the stringent benchmarks set by the competition.","","979-8-3503-4007-5","10.1109/ISEM59023.2023.10334852","Consejo Nacional de Ciencia y Tecnología (CONACYT)(grant numbers:CVU 923079); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10334852","Conceptual design;Shell Eco-Marathon;Electric vehicle;Automotive Engineering;Engineering Design;Artificial Intelligence","Resistance;Technological innovation;Biological system modeling;Prototypes;Machine learning;Robustness;Regulation","","","","25","IEEE","6 Dec 2023","","","IEEE","IEEE Conferences"
"Enhanced Defect Detection in After Develop Inspection with Machine Learning Disposition","M. P. McLaughlin; A. Stamper; G. Barber; J. Paduano; P. Mennell; E. Benn; M. Linnane; J. Zwick; C. Khatumria; R. L. Isaacson; N. Hoffman; C. Menser","GLOBALFOUNDRIES, NY, 12533; GLOBALFOUNDRIES, NY, 12533; GLOBALFOUNDRIES, NY, 12533; GLOBALFOUNDRIES, NY, 12533; GLOBALFOUNDRIES, NY, 12533; GLOBALFOUNDRIES, NY, 12533; GLOBALFOUNDRIES, NY, 12533; GLOBALFOUNDRIES, NY, 12533; GLOBALFOUNDRIES, NY, 12533; GLOBALFOUNDRIES, NY, 12533; GLOBALFOUNDRIES, NY, 12533; GLOBALFOUNDRIES, NY, 12533","2021 32nd Annual SEMI Advanced Semiconductor Manufacturing Conference (ASMC)","24 May 2021","2021","","","1","5","A complementary Machine Learning disposition method was generated and tested for after develop inspections in lithography. For lithography coating defects, this new method showed twice the sensitivity and five times the specificity in a controlled experiment versus the baseline system. Applying the detection method along with process improvements, preventative measures and rework for splatter defects, reduced yield loss from splatters by over 30x. Herein we describe learnings on the use of image enhancement for training and disposition, an Explainable AI system to support understanding, and a process flow to train augmentation based on performance.","2376-6697","978-1-7281-8645-0","10.1109/ASMC51741.2021.9435721","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9435721","Machine Learning;Semiconductor;Smart Manufacturing;ADI;Lithography","Training;Semiconductor device measurement;Sensitivity;Lithography;Machine learning;Inspection;Loss measurement","","2","","10","IEEE","24 May 2021","","","IEEE","IEEE Conferences"
