"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link","Abstract","EID"
"Deepak A.; William P.; Dubey R.; Sachdeva S.; Vinotha C.; Masand S.; Shrivastava A.","Deepak, A. (57210350224); William, P. (57433493200); Dubey, Rajat (58824154400); Sachdeva, Shilpa (58755612600); Vinotha, C. (57979503600); Masand, Sunny (58756457200); Shrivastava, Anurag (58035982500)","57210350224; 57433493200; 58824154400; 58755612600; 57979503600; 58756457200; 58035982500","Impact of Artificial Intelligence and Cyber Security as Advanced Technologies on Bitcoin Industries","2024","International Journal of Intelligent Systems and Applications in Engineering","12","3","","131","140","9","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179304329&partnerID=40&md5=d25b16b012bfa74fae68b55f176a3f74","This review article investigates the relationship between Bitcoin and artificial intelligence (AI), as well as any potential consequences on the Bitcoin market. Also included are any implications for the future of the cryptocurrency. The literature review focuses on the existing research on the relationships between artificial intelligence technology and Bitcoin, and it provides an overview of both of these businesses. This research investigates the potential impacts that AI might have on the Bitcoin industry, including improved user experiences, better levels of transactional security, and enhanced operational efficiencies. The paper also analyses the challenges that occur from applying AI to the Bitcoin industry in terms of the rules and regulations, data security and privacy, and trust that exist in the sector. In recent years, cryptocurrencies have emerged as a dominant form of digital money, and the financial system itself has evolved into an increasingly important component in this space. In order to reduce the amount of risk that is associated with investing, certain approaches that are based on artificial intelligence are required to predict price and trend, as well as to design portfolios and identify fraudulent activity. Along with recent research on AI-based strategies for cryptocurrencies, the most well-known cryptocurrency, Bitcoin, is explored in this article. The articles that were determined to be the most relevant were assessed, and this page addresses the bulk of those publications. This contains research on Bitcoin and other cryptocurrencies, as well as techniques of machine learning such as SVM, ANN, LSTM, and GRU. © 2024, Ismail Saritas. All rights reserved.","2-s2.0-85179304329"
"Adão T.; Oliveira J.; Shahrabadi S.; Jesus H.; Fernandes M.; Costa Â.; Ferreira V.; Gonçalves M.F.; Lopéz M.A.G.; Peres E.; Magalhães L.G.","Adão, Telmo (53363165700); Oliveira, João (35519965200); Shahrabadi, Somayeh (55839647600); Jesus, Hugo (58735653100); Fernandes, Marco (58735653200); Costa, Ângelo (58515186000); Ferreira, Vânia (58515409100); Gonçalves, Martinho Fradeira (53363332700); Lopéz, Miguel A. Guevara (36999281000); Peres, Emanuel (36437418800); Magalhães, Luís Gonzaga (58010199300)","53363165700; 35519965200; 55839647600; 58735653100; 58735653200; 58515186000; 58515409100; 53363332700; 36999281000; 36437418800; 58010199300","Empowering Deaf-Hearing Communication: Exploring Synergies between Predictive and Generative AI-Based Strategies towards (Portuguese) Sign Language Interpretation","2023","Journal of Imaging","9","11","235","","","","10.3390/jimaging9110235","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178285214&doi=10.3390%2fjimaging9110235&partnerID=40&md5=5a4df4570bbda9ab330026683f7b8cd8","Communication between Deaf and hearing individuals remains a persistent challenge requiring attention to foster inclusivity. Despite notable efforts in the development of digital solutions for sign language recognition (SLR), several issues persist, such as cross-platform interoperability and strategies for tokenizing signs to enable continuous conversations and coherent sentence construction. To address such issues, this paper proposes a non-invasive Portuguese Sign Language (Língua Gestual Portuguesa or LGP) interpretation system-as-a-service, leveraging skeletal posture sequence inference powered by long-short term memory (LSTM) architectures. To address the scarcity of examples during machine learning (ML) model training, dataset augmentation strategies are explored. Additionally, a buffer-based interaction technique is introduced to facilitate LGP terms tokenization. This technique provides real-time feedback to users, allowing them to gauge the time remaining to complete a sign, which aids in the construction of grammatically coherent sentences based on inferred terms/words. To support human-like conditioning rules for interpretation, a large language model (LLM) service is integrated. Experiments reveal that LSTM-based neural networks, trained with 50 LGP terms and subjected to data augmentation, achieved accuracy levels ranging from 80% to 95.6%. Users unanimously reported a high level of intuition when using the buffer-based interaction strategy for terms/words tokenization. Furthermore, tests with an LLM—specifically ChatGPT—demonstrated promising semantic correlation rates in generated sentences, comparable to expected sentences. © 2023 by the authors.","2-s2.0-85178285214"
"Sarker I.H.; Janicke H.; Ferrag M.A.; Abuadbba A.","Sarker, Iqbal H. (56997358700); Janicke, Helge (14028408400); Ferrag, Mohamed Amine (56115001200); Abuadbba, Alsharif (56401899800)","56997358700; 14028408400; 56115001200; 56401899800","Multi-aspect rule-based AI: Methods, taxonomy, challenges and directions towards automation, intelligence and transparent cybersecurity modeling for critical infrastructures","2024","Internet of Things (Netherlands)","25","","101110","","","","10.1016/j.iot.2024.101110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184885846&doi=10.1016%2fj.iot.2024.101110&partnerID=40&md5=ea7113a711abc4f7cb8529c55ab757e4","Critical infrastructure (CI) typically refers to the essential physical and virtual systems, assets, and services that are vital for the functioning and well-being of a society, economy, or nation. However, the rapid proliferation and dynamism of today's cyber threats in digital environments may disrupt CI functionalities, which would have a debilitating impact on public safety, economic stability, and national security. This has led to much interest in effective cybersecurity solutions regarding automation and intelligent decision-making, where AI-based modeling is potentially significant. In this paper, we take into account “Rule-based AI” rather than other black-box solutions since model transparency, i.e., human interpretation, explainability, and trustworthiness in decision-making, is an essential factor, particularly in cybersecurity application areas. This article provides an in-depth study on multi-aspect rule based AI modeling considering human interpretable decisions as well as security automation and intelligence for CI. We also provide a taxonomy of rule generation methods by taking into account not only knowledge-driven approaches based on human expertise but also data-driven approaches, i.e., extracting insights or useful knowledge from data, and their hybridization. This understanding can help security analysts and professionals comprehend how systems work, identify potential threats and anomalies, and make better decisions in various real-world application areas. We also cover how these techniques can address diverse cybersecurity concerns such as threat detection, mitigation, prediction, diagnosis for root cause findings, and so on in different CI sectors, such as energy, defence, transport, health, water, agriculture, etc. We conclude this paper with a list of identified issues and opportunities for future research, as well as their potential solution directions for how researchers and professionals might tackle future generation cybersecurity modeling in this emerging area of study. © 2024 The Author(s)","2-s2.0-85184885846"
"Al-Hawawreh M.; Moustafa N.","Al-Hawawreh, Muna (57193866778); Moustafa, Nour (56816761200)","57193866778; 56816761200","Explainable deep learning for attack intelligence and combating cyber–physical attacks","2024","Ad Hoc Networks","153","","103329","","","","10.1016/j.adhoc.2023.103329","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175734930&doi=10.1016%2fj.adhoc.2023.103329&partnerID=40&md5=05f73de12ea6ef5bf043576cc6e39f0b","Cyber–physical control loops comprising sensors, actuators and controllers pose the most valued and critical part of the industrial Internet of Things (IIoT) as it regulates the state of the physical process, such as water treatment or gas flow. Thus, any malicious activities could lead to physical damage, affecting human safety. Cyber–physical attacks against the physical process are difficult to detect using existing threats and attack intelligence due to the (1) lack of such intelligence for the physical process and operational technology systems and (2) such attacks affect the process parameters and states. Artificial Intelligence (AI)-based attack intelligence is required. This study proposes an attack intelligence framework for identifying cyber–physical attacks and extracting attack intelligence. We propose an attribution module for attack identification using various machine and deep learning algorithms. We also utilize Explainable AI (XAI) to improve the explainability of the attack attribution module and extract attack intelligence. Our proposed framework is evaluated and tested using a gas pipeline dataset as a use case. We demonstrate that the proposed framework improves the understanding of attacks and provides attack rules, assisting security analysts in securing critical physical processes. © 2023 The Author(s)","2-s2.0-85175734930"
"Gaiardelli S.; Lora M.; Spellini S.; Fummi F.","Gaiardelli, Sebastiano (57328867400); Lora, Michele (56495027000); Spellini, Stefano (57204980174); Fummi, Franco (7003817152)","57328867400; 56495027000; 57204980174; 7003817152","RRPDG: A Graph Model to Enable AI-Based Production Reconfiguration and Optimization","2024","IEEE Transactions on Industrial Informatics","","","","1","11","10","10.1109/TII.2024.3352645","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184010229&doi=10.1109%2fTII.2024.3352645&partnerID=40&md5=22f8f35cde24ecb3d7df3b14ed572c4e","This article introduces the regionalized resource process dependence graphs (RRPDGs): a manufacturing processes representation inspired by the regionalized value state dependence graphs traditionally used in software compilers. An RRPDG is an ordered sequence of nodes, each characterized by stereotyped input and output parameters, encapsulating a transformation of the process state (<italic/>e.g.<italic/>, a manufacturing operation). RRPDG allow defining complex transformations by composing a set of nodes (<italic/>i.e.<italic/>, regions), hiding the internal details. Then, RRPDGs are used to automatically reasoning over dynamic reconfiguration and process optimization: an instance of the A-star search algorithm is used to search for possible transformations while pursuing an optimization function. The rules defined in this article over RRPDG models enforce the transformations&#x0027; correctness. We use RRPDGs to model a real production system while the transformation rules are applied to optimize the system&#x0027;s processes. The proposed representation reduced the search complexity in each experiment, allowing to reach an optimal solution also in the case for which classical approaches were unable to complete before reaching the timeout. In all the experiments, the cost of the solution produced by using the regionalized representation is minor than the the solution produced by using the classical representation. Authors","2-s2.0-85184010229"
"Li T.; Vorvoreanu M.; Debellis D.; Amershi S.","Li, Tianyi (57208707667); Vorvoreanu, Mihaela (15053834400); Debellis, Derek (58690688900); Amershi, Saleema (23007675700)","57208707667; 15053834400; 58690688900; 23007675700","Assessing Human-AI Interaction Early through Factorial Surveys: A Study on the Guidelines for Human-AI Interaction","2023","ACM Transactions on Computer-Human Interaction","30","5","69","","","","10.1145/3511605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176472685&doi=10.1145%2f3511605&partnerID=40&md5=21e49185c2530a77bb88b09a1467eafa","This work contributes a research protocol for evaluating human-AI interaction in the context of specific AI products. The research protocol enables UX and HCI researchers to assess different human-AI interaction solutions and validate design decisions before investing in engineering. We present a detailed account of the research protocol and demonstrate its use by employing it to study an existing set of human-AI interaction guidelines. We used factorial surveys with a 2 × 2 mixed design to compare user perceptions when a guideline is applied versus violated, under conditions of optimal versus sub-optimal AI performance. The results provided both qualitative and quantitative insights into the UX impact of each guideline. These insights can support creators of user-facing AI systems in their nuanced prioritization and application of the guidelines. © 2023 Copyright held by the owner/author(s). Publication rights licensed to ACM.","2-s2.0-85176472685"
"Alberti E.; Alvarez-Napagao S.; Anaya V.; Barroso M.; Barrué C.; Beecks C.; Bergamasco L.; Chala S.A.; Gimenez-Abalos V.; Graß A.; Hinjos D.; Holtkemper M.; Jakubiak N.; Nizamis A.; Pristeri E.; Sànchez-Marrè M.; Schlake G.; Scholz J.; Scivoletto G.; Walter S.","Alberti, Enrico (58899749200); Alvarez-Napagao, Sergio (26638728200); Anaya, Victor (14630001700); Barroso, Marta (57213935097); Barrué, Cristian (23391695100); Beecks, Christian (24723639300); Bergamasco, Letizia (57521066200); Chala, Sisay Adugna (57190403887); Gimenez-Abalos, Victor (57216865182); Graß, Alexander (57204901249); Hinjos, Daniel (58548560100); Holtkemper, Maike (58876533000); Jakubiak, Natalia (57473978300); Nizamis, Alexandros (57203766332); Pristeri, Edoardo (57209302624); Sànchez-Marrè, Miquel (6601998870); Schlake, Georg (57223133751); Scholz, Jona (58899232500); Scivoletto, Gabriele (57360469300); Walter, Stefan (57322375600)","58899749200; 26638728200; 14630001700; 57213935097; 23391695100; 24723639300; 57521066200; 57190403887; 57216865182; 57204901249; 58548560100; 58876533000; 57473978300; 57203766332; 57209302624; 6601998870; 57223133751; 58899232500; 57360469300; 57322375600","AI Lifecycle Zero-Touch Orchestration within the Edge-to-Cloud Continuum for Industry 5.0","2024","Systems","12","2","48","","","","10.3390/systems12020048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185656119&doi=10.3390%2fsystems12020048&partnerID=40&md5=3c653421cbbf18359e5273a3e833d13e","The advancements in human-centered artificial intelligence (HCAI) systems for Industry 5.0 is a new phase of industrialization that places the worker at the center of the production process and uses new technologies to increase prosperity beyond jobs and growth. HCAI presents new objectives that were unreachable by either humans or machines alone, but this also comes with a new set of challenges. Our proposed method accomplishes this through the knowlEdge architecture, which enables human operators to implement AI solutions using a zero-touch framework. It relies on containerized AI model training and execution, supported by a robust data pipeline and rounded off with human feedback and evaluation interfaces. The result is a platform built from a number of components, spanning all major areas of the AI lifecycle. We outline both the architectural concepts and implementation guidelines and explain how they advance HCAI systems and Industry 5.0. In this article, we address the problems we encountered while implementing the ideas within the edge-to-cloud continuum. Further improvements to our approach may enhance the use of AI in Industry 5.0 and strengthen trust in AI systems. © 2024 by the authors.","2-s2.0-85185656119"
"Laaber C.; Yue T.; Ali S.; Schwitalla T.; Nygård J.","Laaber, Christoph (57194171758); Yue, Tao (25651096400); Ali, Shaukat (56962801700); Schwitalla, Thomas (57193757105); Nygård, Jan (7003875061)","57194171758; 25651096400; 56962801700; 57193757105; 7003875061","Automated Test Generation for Medical Rules Web Services: A Case Study at the Cancer Registry of Norway","2023","ESEC/FSE 2023 - Proceedings of the 31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering","","","","1937","1948","11","10.1145/3611643.3613882","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172431647&doi=10.1145%2f3611643.3613882&partnerID=40&md5=3ca247bd1bfb5730356b1ded32efd778","The Cancer Registry of Norway (CRN) collects, curates, and manages data related to cancer patients in Norway, supported by an interactive, human-in-the-loop, socio-technical decision support software system. Automated software testing of this software system is inevitable; however, currently, it is limited in CRN's practice. To this end, we present an industrial case study to evaluate an AI-based system-level testing tool, i.e., EvoMaster, in terms of its effectiveness in testing CRN's software system. In particular, we focus on GURI, CRN's medical rule engine, which is a key component at the CRN. We test GURI with EvoMaster's black-box and white-box tools and study their test effectiveness regarding code coverage, errors found, and domain-specific rule coverage. The results show that all EvoMaster tools achieve a similar code coverage; i.e., around 19% line, 13% branch, and 20% method; and find a similar number of errors; i.e., 1 in GURI's code. Concerning domain-specific coverage, EvoMaster's black-box tool is the most effective in generating tests that lead to applied rules; i.e., 100% of the aggregation rules and between 12.86% and 25.81% of the validation rules; and to diverse rule execution results; i.e., 86.84% to 89.95% of the aggregation rules and 0.93% to 1.72% of the validation rules pass, and 1.70% to 3.12% of the aggregation rules and 1.58% to 3.74% of the validation rules fail. We further observe that the results are consistent across 10 versions of the rules. Based on these results, we recommend using EvoMaster's black-box tool to test GURI since it provides good results and advances the current state of practice at the CRN. Nonetheless, EvoMaster needs to be extended to employ domain-specific optimization objectives to improve test effectiveness further. Finally, we conclude with lessons learned and potential research directions, which we believe are applicable in a general context. © 2023 ACM.","2-s2.0-85172431647"
"Rismani S.; Moon A.","Rismani, Shalaleh (56541640700); Moon, AJung (54969168600)","56541640700; 54969168600","What does it mean to be a responsible AI practitioner: An ontology of roles and skills","2023","AIES 2023 - Proceedings of the 2023 AAAI/ACM Conference on AI, Ethics, and Society","","","","584","595","11","10.1145/3600211.3604702","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173620022&doi=10.1145%2f3600211.3604702&partnerID=40&md5=319594add49e98d8543d8966cf38ddad","With the growing need to regulate AI systems across a wide variety of application domains, a new set of occupations has emerged in the industry. The so-called responsible Artificial Intelligence (AI) practitioners or AI ethicists are generally tasked with interpreting and operationalizing best practices for ethical and safe design of AI systems. Due to the nascent nature of these roles, however, it is unclear to future employers and aspiring AI ethicists what specific function these roles serve and what skills are necessary to serve the functions. Without clarity on these, we cannot train future AI ethicists with meaningful learning objectives. In this work, we examine what responsible AI practitioners do in the industry and what skills they employ on the job. We propose an ontology of existing roles alongside skills and competencies that serve each role. We created this ontology by examining the job postings for such roles over a two-year period (2020-2022) and conducting expert interviews with fourteen individuals who currently hold such a role in the industry. Our ontology contributes to business leaders looking to build responsible AI teams and provides educators with a set of competencies that an AI ethics curriculum can prioritize.  © 2023 Owner/Author.","2-s2.0-85173620022"
"Palmiotto F.; González N.M.","Palmiotto, Francesca (58525697600); González, Natalia Menéndez (58524591500)","58525697600; 58524591500","Facial recognition technology, democracy and human rights","2023","Computer Law and Security Review","50","","105857","","","","10.1016/j.clsr.2023.105857","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166909919&doi=10.1016%2fj.clsr.2023.105857&partnerID=40&md5=06481e31c0b4692310383afab35f39ef","On 4 July 2023, the Third Section of the European Court of Human Rights (ECtHR) delivered the first judgment on the compatibility of facial recognition technology with human rights in Glukhin v. Russia. The case concerned the use of facial recognition technology (FRT) against Mr Glukhin following his solo demonstration in the Moscow underground. The Court unanimously found a violation of Article 8 (right to respect for private life) and Article 10 (freedom of expression) of the European Convention of Human Rights (ECHR). Regarding FRT, the Court concluded that the use of highly intrusive technology is incompatible with the ideals and values of a democratic society governed by the rule of law. This case note analyses the judgment and shows its relevance in the current regulatory debate on Artificial Intelligence (AI) systems in Europe. Notwithstanding the importance of this decision, we argue that the Court has left crucial questions unanswered. © 2023 Francesca Palmiotto and Natalia Menéndez González","2-s2.0-85166909919"
"Aldoseri A.; Al-Khalifa K.N.; Hamouda A.M.","Aldoseri, Abdulaziz (57514216400); Al-Khalifa, Khalifa N. (24536663600); Hamouda, Abdel Magid (7005464521)","57514216400; 24536663600; 7005464521","Methodological Approach to Assessing the Current State of Organizations for AI-Based Digital Transformation","2024","Applied System Innovation","7","1","14","","","","10.3390/asi7010014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185951492&doi=10.3390%2fasi7010014&partnerID=40&md5=70679baed7312facf77bcc857ea3680e","In an era defined by technological disruption, the integration of artificial intelligence (AI) into business processes is both strategic and challenging. As AI continues to disrupt and reshape industries and revolutionize business processes, organizations must take proactive steps to assess their readiness and capabilities to effectively leverage AI technologies. This research focuses on the assessment elements required to evaluate an organization’s current state in preparation for AI-based digital transformation. This research is based on a literature review and practical insights derived from extensive experience in industrial system engineering. This paper outlines the key assessment elements that organizations should consider to ensure successful and sustainable AI-based digital transformation. This emphasizes the need for a comprehensive approach to assess the organization’s data infrastructure, governance practices, and existing AI capabilities. Furthermore, the research work focuses on the evaluation of AI talent and skills within the organization, considering the significance of fostering an innovative culture and addressing change management challenges. The results of this study provide organizations with elements to assess their current state for AI-based digital transformation. By adopting and implementing the proposed guidelines, organizations can gain a holistic perspective of their current standing, identify strategic opportunities for AI integration, mitigate potential risks, and strategize a successful path forwards in the evolving landscape of AI-driven digital transformation. © 2024 by the authors.","2-s2.0-85185951492"
"Danilevskyi M.; Perez Tellez F.","Danilevskyi, Mykhailo (58847730900); Perez Tellez, Fernando (35090542400)","58847730900; 35090542400","On the compliance with ethical principles in AI","2023","ACM International Conference Proceeding Series","","","","50","","","10.1145/3633083.3633223","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183314043&doi=10.1145%2f3633083.3633223&partnerID=40&md5=1f01099002a983eaf5877eb73873d5a7","In recent years, there has been a lot of discussion around ethics in IT and AI. Researchers and organizations have proposed guidelines to address privacy, fairness, and explainability challenges for creating trustworthy AI. In this work, we outline the importance of compliance with the above-mentioned ethical principles and their influence on the quality of AI systems. We map the relationship between available approaches for compliance with privacy, fairness, explainability principles and the accuracy of AI system decisions. Additionally, we introduce the difference between ensuring fairness for phenomena presented with tabular data and text. Tabular data may contain protected attributes such as gender, age, or race as well as the decision made historically in relation to the people concerned. Data presented in text is not structured and requires sense perception by AI systems to detect bias or unfairness. In the poster, we compare available approaches and present experiments for measuring bias in text data.  © 2023 Owner/Author.","2-s2.0-85183314043"
"Michel-Villarreal R.; Vilalta-Perdomo E.; Salinas-Navarro D.E.; Thierry-Aguilera R.; Gerardou F.S.","Michel-Villarreal, Rosario (57196017810); Vilalta-Perdomo, Eliseo (55931930600); Salinas-Navarro, David Ernesto (57208908312); Thierry-Aguilera, Ricardo (16069538900); Gerardou, Flor Silvestre (58247298800)","57196017810; 55931930600; 57208908312; 16069538900; 58247298800","Challenges and Opportunities of Generative AI for Higher Education as Explained by ChatGPT","2023","Education Sciences","13","9","856","","","","10.3390/educsci13090856","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172136998&doi=10.3390%2feducsci13090856&partnerID=40&md5=82a953bf7de1d553a8f76abaf201a5eb","ChatGPT is revolutionizing the field of higher education by leveraging deep learning models to generate human-like content. However, its integration into academic settings raises concerns regarding academic integrity, plagiarism detection, and the potential impact on critical thinking skills. This article presents a study that adopts a thing ethnography approach to understand ChatGPT’s perspective on the challenges and opportunities it represents for higher education. The research explores the potential benefits and limitations of ChatGPT, as well as mitigation strategies for addressing the identified challenges. Findings emphasize the urgent need for clear policies, guidelines, and frameworks to responsibly integrate ChatGPT in higher education. It also highlights the need for empirical research to understand user experiences and perceptions. The findings provide insights that can guide future research efforts in understanding the implications of ChatGPT and similar Artificial Intelligence (AI) systems in higher education. The study concludes by highlighting the importance of thing ethnography as an innovative approach for engaging with intelligent AI systems and calls for further research to explore best practices and strategies in utilizing Generative AI for educational purposes. © 2023 by the authors.","2-s2.0-85172136998"
"Fernandez-Basso C.; Gutiérrez-Batista K.; Gómez-Romero J.; Ruiz M.D.; Martin-Bautista M.J.","Fernandez-Basso, Carlos (57204458107); Gutiérrez-Batista, Karel (57191544839); Gómez-Romero, Juan (8875878400); Ruiz, M. Dolores (24554420800); Martin-Bautista, Maria J. (6601983953)","57204458107; 57191544839; 8875878400; 24554420800; 6601983953","An AI knowledge-based system for police assistance in crime investigation","2024","Expert Systems","","","","","","","10.1111/exsy.13524","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181704485&doi=10.1111%2fexsy.13524&partnerID=40&md5=51ab6cc2dfd6196054e2e7770de3b23d","The fight against crime is often an arduous task overall when huge amounts of data have to be inspected, as is currently the case when it comes for example in the detection of criminal activity on the dark web. This work presents and describes an artificial intelligence (AI) based system that combines various tools to assist police or law enforcement agencies during their investigations, or at least mitigate the hard process of data collection, processing and analysis. The system is an early warning/early action system for crime investigation that supports law enforcement with different processes to collect and process data as well as having knowledge extraction tools. It helps to extract information during the investigation of a criminal case or even to detect possible criminal hotspots that may lead to further investigation or analysis of a criminal case Abu Al-Haija et al. (2022, Electronics, 11, 556). The functionality of the proposed system is illustrated through several examples using data collected from the dark web, which includes advertisements offering firearms-related products. © 2024 The Authors. Expert Systems published by John Wiley & Sons Ltd.","2-s2.0-85181704485"
"Stasevych M.; Zvarych V.","Stasevych, Maryna (8636372500); Zvarych, Viktor (56040708100)","8636372500; 56040708100","Innovative Robotic Technologies and Artificial Intelligence in Pharmacy and Medicine: Paving the Way for the Future of Health Care—A Review","2023","Big Data and Cognitive Computing","7","3","147","","","","10.3390/bdcc7030147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172168908&doi=10.3390%2fbdcc7030147&partnerID=40&md5=3161726af6895f16cb9214581ce7bb9e","The future of innovative robotic technologies and artificial intelligence (AI) in pharmacy and medicine is promising, with the potential to revolutionize various aspects of health care. These advances aim to increase efficiency, improve patient outcomes, and reduce costs while addressing pressing challenges such as personalized medicine and the need for more effective therapies. This review examines the major advances in robotics and AI in the pharmaceutical and medical fields, analyzing the advantages, obstacles, and potential implications for future health care. In addition, prominent organizations and research institutions leading the way in these technological advancements are highlighted, showcasing their pioneering efforts in creating and utilizing state-of-the-art robotic solutions in pharmacy and medicine. By thoroughly analyzing the current state of robotic technologies in health care and exploring the possibilities for further progress, this work aims to provide readers with a comprehensive understanding of the transformative power of robotics and AI in the evolution of the healthcare sector. Striking a balance between embracing technology and preserving the human touch, investing in R&D, and establishing regulatory frameworks within ethical guidelines will shape a future for robotics and AI systems. The future of pharmacy and medicine is in the seamless integration of robotics and AI systems to benefit patients and healthcare providers. © 2023 by the authors.","2-s2.0-85172168908"
"Feffer M.; Skirpan M.; Lipton Z.; Heidari H.","Feffer, Michael (57471426900); Skirpan, Michael (56872837800); Lipton, Zachary (56358302800); Heidari, Hoda (56394228400)","57471426900; 56872837800; 56358302800; 56394228400","From Preference Elicitation to Participatory ML: A Critical Survey & Guidelines for Future Research","2023","AIES 2023 - Proceedings of the 2023 AAAI/ACM Conference on AI, Ethics, and Society","","","","38","48","10","10.1145/3600211.3604661","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173613572&doi=10.1145%2f3600211.3604661&partnerID=40&md5=dbf0b5af51d55e24155582778673a2a9","The AI Ethics community faces an imperative to empower stakeholders and impacted community members so that they can scrutinize and influence the design, development, and use of AI systems in high-stakes domains. While a growing chorus of recent papers has kindled interest in so-called ""participatory ML""methods, precisely what form participation ought to take and how to operationalize these ambitions are seldom addressed. Our survey of the relevant literature shows that in many papers, participation is reduced to highly structured, computational mechanisms designed to elicit mathematically tractable approximations of narrowly-defined moral values. Of papers that actually engage with real people, these engagements typically consist of one-time interactions with individuals that are often unrepresentative of the relevant stakeholders. Motivated by these clear limitations, we introduce a consolidated set of axes to evaluate and improve participatory approaches. We use these axes to analyze contemporary work in this space and outline future AI research directions that could meaningfully contribute to operationalizing the ideal of participation.  © 2023 Owner/Author.","2-s2.0-85173613572"
"Lin Y.; Li J.; Xiao H.; Zheng L.; Xiao Y.; Song H.; Fan J.; Xiao D.; Ai D.; Fu T.; Wang F.; Lv H.; Yang J.","Lin, Yucong (57212110354); Li, Jia (57441037000); Xiao, Huan (58345623700); Zheng, Lujie (58680782900); Xiao, Ying (58680917900); Song, Hong (7404037613); Fan, Jingfan (56028732500); Xiao, Deqiang (57212001182); Ai, Danni (56173394200); Fu, Tianyu (56365895900); Wang, Feifei (57190750487); Lv, Han (55977922500); Yang, Jian (57091071100)","57212110354; 57441037000; 58345623700; 58680782900; 58680917900; 7404037613; 56028732500; 57212001182; 56173394200; 56365895900; 57190750487; 55977922500; 57091071100","Automatic literature screening using the PAJO deep-learning model for clinical practice guidelines","2023","BMC Medical Informatics and Decision Making","23","1","247","","","","10.1186/s12911-023-02328-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175729816&doi=10.1186%2fs12911-023-02328-8&partnerID=40&md5=fe34ef835a5713a30bb6cf957977c352","Background: Clinical practice guidelines (CPGs) are designed to assist doctors in clinical decision making. High-quality research articles are important for the development of good CPGs. Commonly used manual screening processes are time-consuming and labor-intensive. Artificial intelligence (AI)-based techniques have been widely used to analyze unstructured data, including texts and images. Currently, there are no effective/efficient AI-based systems for screening literature. Therefore, developing an effective method for automatic literature screening can provide significant advantages. Methods: Using advanced AI techniques, we propose the Paper title, Abstract, and Journal (PAJO) model, which treats article screening as a classification problem. For training, articles appearing in the current CPGs are treated as positive samples. The others are treated as negative samples. Then, the features of the texts (e.g., titles and abstracts) and journal characteristics are fully utilized by the PAJO model using the pretrained bidirectional-encoder-representations-from-transformers (BERT) model. The resulting text and journal encoders, along with the attention mechanism, are integrated in the PAJO model to complete the task. Results: We collected 89,940 articles from PubMed to construct a dataset related to neck pain. Extensive experiments show that the PAJO model surpasses the state-of-the-art baseline by 1.91% (F1 score) and 2.25% (area under the receiver operating characteristic curve). Its prediction performance was also evaluated with respect to subject-matter experts, proving that PAJO can successfully screen high-quality articles. Conclusions: The PAJO model provides an effective solution for automatic literature screening. It can screen high-quality articles on neck pain and significantly improve the efficiency of CPG development. The methodology of PAJO can also be easily extended to other diseases for literature screening. © 2023, The Author(s).","2-s2.0-85175729816"
